;Simbolico pasaportes

I0.0;S900; EMERGENCIA ARMARIO ACTUADA
I18.3;Input18.3;Input18.3

I18.4;Input18.4;Input18.4

I18.5;Input18.5;Input18.5

I18.6;Input18.6;Input18.6

I18.7;Input18.7;Input18.7

I19.0;Input19.0;Input19.0

I19.1;Input19.1;Input19.1

I19.2;Input19.2;Input19.2

I19.3;Input19.3;Input19.3

I19.4;Input19.4;Input19.4

I19.5;Input19.5;Input19.5

I19.6;Input19.6;Input19.6

I19.7;Input19.7;Input19.7

I20.0;Input20.0;Input20.0

I20.1;Input20.1;Input20.1

I20.2;Input20.2;Input20.2

I20.3;Input20.3;Input20.3

I20.4;Input20.4;Input20.4

I20.5;Input20.5;Input20.5

I20.6;Input20.6;Input20.6

I20.7;Input20.7;Input20.7

I21.0;Input21.0;Input21.0

I21.1;Input21.1;Input21.1

I21.2;Input21.2;Input21.2

I21.3;Input21.3;Input21.3

I21.4;Input21.4;Input21.4

I21.5;Input21.5;Input21.5

I21.6;Input21.6;Input21.6

I21.7;Input21.7;Input21.7

I22.0;Input22.0;Input22.0

I22.1;Input22.1;Input22.1

I22.2;Input22.2;Input22.2

I22.3;Input22.3;Input22.3

I22.4;Input22.4;Input22.4

I22.5;Input22.5;Input22.5

I22.6;Input22.6;Input22.6

I22.7;Input22.7;Input22.7

I23.0;Input23.0;Input23.0

I23.1;Input23.1;Input23.1

I23.2;Input23.2;Input23.2

I23.3;Input23.3;Input23.3

I23.4;Input23.4;Input23.4

I23.5;Input23.5;Input23.5

I23.6;Input23.6;Input23.6

I23.7;Input23.7;Input23.7

I24.0;Input24.0;Input24.0

I24.1;Input24.1;Input24.1

I24.2;Input24.2;Input24.2

I24.3;Input24.3;Input24.3

I24.4;Input24.4;Input24.4

I24.5;Input24.5;Input24.5

I24.6;Input24.6;Input24.6

I24.7;Input24.7;Input24.7

I25.0;Input25.0;Input25.0

I25.1;Input25.1;Input25.1

I25.2;Input25.2;Input25.2

I25.3;Input25.3;Input25.3

I25.4;Input25.4;Input25.4

I25.5;Input25.5;Input25.5

I25.6;Input25.6;Input25.6

I25.7;Input25.7;Input25.7

I26.0;Input26.0;Input26.0

I26.1;Input26.1;Input26.1

I26.2;Input26.2;Input26.2

I26.3;Input26.3;Input26.3

I26.4;Input26.4;Input26.4

I26.5;Input26.5;Input26.5

I26.6;Input26.6;Input26.6

I26.7;Input26.7;Input26.7

I27.0;Input27.0;Input27.0

I27.1;Input27.1;Input27.1

I27.2;Input27.2;Input27.2

I27.3;Input27.3;Input27.3

I27.4;Input27.4;Input27.4

I27.5;Input27.5;Input27.5

I27.6;Input27.6;Input27.6

I27.7;Input27.7;Input27.7

I28.0;Input28.0;Input28.0

I28.1;Input28.1;Input28.1

I28.2;Input28.2;Input28.2

I28.3;Input28.3;Input28.3

I28.4;Input28.4;Input28.4

I28.5;Input28.5;Input28.5

I28.6;Input28.6;Input28.6

I28.7;Input28.7;Input28.7

I29.0;Input29.0;Input29.0

I29.1;Input29.1;Input29.1

I29.2;Input29.2;Input29.2

I29.3;Input29.3;Input29.3

I29.4;Input29.4;Input29.4

I29.5;Input29.5;Input29.5

I29.6;Input29.6;Input29.6

I29.7;Input29.7;Input29.7

I30.0;Input30.0;Input30.0

I30.1;Input30.1;Input30.1

I30.2;Input30.2;Input30.2

I30.3;Input30.3;Input30.3

I30.4;Input30.4;Input30.4

I30.5;Input30.5;Input30.5

I30.6;Input30.6;Input30.6

I30.7;Input30.7;Input30.7

I31.0;Input31.0;Input31.0

I31.1;Input31.1;Input31.1

I31.2;Input31.2;Input31.2

I31.3;Input31.3;Input31.3

I31.4;Input31.4;Input31.4

I31.5;Input31.5;Input31.5

I31.6;Input31.6;Input31.6

I31.7;Input31.7;Input31.7

I32.0;Input32.0;Input32.0

I32.1;Input32.1;Input32.1

I32.2;Input32.2;Input32.2

I32.3;Input32.3;Input32.3

I32.4;Input32.4;Input32.4

I32.5;Input32.5;Input32.5

I32.6;Input32.6;Input32.6

I32.7;Input32.7;Input32.7

I33.0;Input33.0;Input33.0

I33.1;Input33.1;Input33.1

I33.2;Input33.2;Input33.2

I33.3;Input33.3;Input33.3

I33.4;Input33.4;Input33.4

I33.5;Input33.5;Input33.5

I33.6;Input33.6;Input33.6

I33.7;Input33.7;Input33.7

I34.0;Input34.0;Input34.0

I34.1;Input34.1;Input34.1

I34.2;Input34.2;Input34.2

I34.3;Input34.3;Input34.3

I34.4;Input34.4;Input34.4

I34.5;Input34.5;Input34.5

I34.6;Input34.6;Input34.6

I34.7;Input34.7;Input34.7

I35.0;Input35.0;Input35.0

I35.1;Input35.1;Input35.1

I35.2;Input35.2;Input35.2

I35.3;Input35.3;Input35.3

I35.4;Input35.4;Input35.4

I35.5;Input35.5;Input35.5

I35.6;Input35.6;Input35.6

I35.7;Input35.7;Input35.7

I36.0;Input36.0;Input36.0

I36.1;Input36.1;Input36.1

I36.2;Input36.2;Input36.2

I36.3;Input36.3;Input36.3

I36.4;Input36.4;Input36.4

I36.5;Input36.5;Input36.5

I36.6;Input36.6;Input36.6

I36.7;Input36.7;Input36.7

I37.0;Input37.0;Input37.0

I37.1;Input37.1;Input37.1

I37.2;Input37.2;Input37.2

I37.3;Input37.3;Input37.3

I37.4;Input37.4;Input37.4

I37.5;Input37.5;Input37.5

I37.6;Input37.6;Input37.6

I37.7;Input37.7;Input37.7

I38.0;Input38.0;Input38.0

I38.1;Input38.1;Input38.1

I38.2;Input38.2;Input38.2

I38.3;Input38.3;Input38.3

I38.4;Input38.4;Input38.4

I38.5;Input38.5;Input38.5

I38.6;Input38.6;Input38.6

I38.7;Input38.7;Input38.7

I39.0;Input39.0;Input39.0

I39.1;Input39.1;Input39.1

I39.2;Input39.2;Input39.2

I39.3;Input39.3;Input39.3

I39.4;Input39.4;Input39.4

I39.5;Input39.5;Input39.5

I39.6;Input39.6;Input39.6

I39.7;Input39.7;Input39.7

I40.0;Input40.0;Input40.0

I40.1;Input40.1;Input40.1

I40.2;Input40.2;Input40.2

I40.3;Input40.3;Input40.3

I40.4;Input40.4;Input40.4

I40.5;Input40.5;Input40.5

I40.6;Input40.6;Input40.6

I40.7;Input40.7;Input40.7

I41.0;Input41.0;Input41.0

I41.1;Input41.1;Input41.1

I41.2;Input41.2;Input41.2

I41.3;Input41.3;Input41.3

I41.4;Input41.4;Input41.4

I41.5;Input41.5;Input41.5

I41.6;Input41.6;Input41.6

I41.7;Input41.7;Input41.7

I42.0;Input42.0;Input42.0

I42.1;Input42.1;Input42.1

I42.2;Input42.2;Input42.2

I42.3;Input42.3;Input42.3

I42.4;Input42.4;Input42.4

I42.5;Input42.5;Input42.5

I42.6;Input42.6;Input42.6

I42.7;Input42.7;Input42.7

I43.0;Input43.0;Input43.0

I43.1;Input43.1;Input43.1

I43.2;Input43.2;Input43.2

I43.3;Input43.3;Input43.3

I43.4;Input43.4;Input43.4

I43.5;Input43.5;Input43.5

I43.6;Input43.6;Input43.6

I43.7;Input43.7;Input43.7

I44.0;Input44.0;Input44.0

I44.1;Input44.1;Input44.1

I44.2;Input44.2;Input44.2

I44.3;Input44.3;Input44.3

I44.4;Input44.4;Input44.4

I44.5;Input44.5;Input44.5

I44.6;Input44.6;Input44.6

I44.7;Input44.7;Input44.7

I45.0;Input45.0;Input45.0

I45.1;Input45.1;Input45.1

I45.2;Input45.2;Input45.2

I45.3;Input45.3;Input45.3

I45.4;Input45.4;Input45.4

I45.5;Input45.5;Input45.5

I45.6;Input45.6;Input45.6

I45.7;Input45.7;Input45.7

I46.0;Input46.0;Input46.0

I46.1;Input46.1;Input46.1

I46.2;Input46.2;Input46.2

I46.3;Input46.3;Input46.3

I46.4;Input46.4;Input46.4

I46.5;Input46.5;Input46.5

I46.6;Input46.6;Input46.6

I46.7;Input46.7;Input46.7

I47.0;Input47.0;Input47.0

I47.1;Input47.1;Input47.1

I47.2;Input47.2;Input47.2

I47.3;Input47.3;Input47.3

I47.4;Input47.4;Input47.4

I47.5;Input47.5;Input47.5

I47.6;Input47.6;Input47.6

I47.7;Input47.7;Input47.7

I48.0;Input48.0;Input48.0

I48.1;Input48.1;Input48.1

I48.2;Input48.2;Input48.2

I48.3;Input48.3;Input48.3

I48.4;Input48.4;Input48.4

I48.5;Input48.5;Input48.5

I48.6;Input48.6;Input48.6

I48.7;Input48.7;Input48.7

I49.0;Input49.0;Input49.0

I49.1;Input49.1;Input49.1

I49.2;Input49.2;Input49.2

I49.3;Input49.3;Input49.3

I49.4;Input49.4;Input49.4

I49.5;Input49.5;Input49.5

I49.6;Input49.6;Input49.6

I49.7;Input49.7;Input49.7

I50.0;S101 Izq.; Confirmar  pasaportes 1-1 Izq.

I50.1;S201 Izq.; Confirmar  pasaportes 2-1 Izq.

I50.2;S301 Izq.; Confirmar  pasaportes 3-1 Izq.

I50.3;S401 Izq.; Confirmar  pasaportes 4-1 Izq.

I50.4;S501 Izq.; Confirmar  pasaportes 5-1 Izq.

I50.5;S601 Izq.; Confirmar  pasaportes 6-1 Izq.

I50.6;S701 Izq.; Confirmar  pasaportes 7-1 Izq.

I50.7;S801 Izq.; Confirmar  pasaportes 8-1 Izq.

I51.0;S102 Izq.; Confirmar  pasaportes 1-2 Izq.

I51.1;S202 Izq.; Confirmar  pasaportes 2-2 Izq.

I51.2;S302 Izq.; Confirmar  pasaportes 3-2 Izq.

I51.3;S402 Izq.; Confirmar  pasaportes 4-2 Izq.

I51.4;S502 Izq.; Confirmar  pasaportes 5-2 Izq.

I51.5;S602 Izq.; Confirmar  pasaportes 6-2 Izq.

I51.6;S702 Izq.; Confirmar  pasaportes 7-2 Izq.

I51.7;S802 Izq.; Confirmar  pasaportes 8-2 Izq.

I52.0;S103 Izq.; Confirmar  pasaportes 1-3 Izq.

I52.1;S203 Izq.; Confirmar  pasaportes 2-3 Izq.

I52.2;S303 Izq.; Confirmar  pasaportes 3-3 Izq.

I52.3;S403 Izq.; Confirmar  pasaportes 4-3 Izq.

I52.4;S503 Izq.; Confirmar  pasaportes 5-3 Izq.

I52.5;S603 Izq.; Confirmar  pasaportes 6-3 Izq.

I52.6;S703 Izq.; Confirmar  pasaportes 7-3 Izq.

I52.7;S803 Izq.; Confirmar  pasaportes 8-3 Izq.

I53.0;S104 Izq.; Confirmar  pasaportes 1-4 Izq.

I53.1;S204 Izq.; Confirmar  pasaportes 2-4 Izq.

I53.2;S304 Izq.; Confirmar  pasaportes 3-4 Izq.

I53.3;S404 Izq.; Confirmar  pasaportes 4-4 Izq.

I53.4;S504 Izq.; Confirmar  pasaportes 5-4 Izq.

I53.5;S604 Izq.; Confirmar  pasaportes 6-4 Izq.

I53.6;S704 Izq.; Confirmar  pasaportes 7-4 Izq.

I53.7;S804 Izq.; Confirmar  pasaportes 8-4 Izq.

I54.0;S105 Izq.; Confirmar  pasaportes 1-5 Izq.

I54.1;S205 Izq.; Confirmar  pasaportes 2-5 Izq.

I54.2;S305 Izq.; Confirmar  pasaportes 3-5 Izq.

I54.3;S405 Izq.; Confirmar  pasaportes 4-5 Izq.

I54.4;S505 Izq.; Confirmar  pasaportes 5-5 Izq.

I54.5;S605 Izq.; Confirmar  pasaportes 6-5 Izq.

I54.6;S705 Izq.; Confirmar  pasaportes 7-5 Izq.

I54.7;S805 Izq.; Confirmar  pasaportes 8-5 Izq.

I55.0;S106 Izq.; Confirmar  pasaportes 1-6 Izq.

I55.1;S206 Izq.; Confirmar  pasaportes 2-6 Izq.

I55.2;S306 Izq.; Confirmar  pasaportes 3-6 Izq.

I55.3;S406 Izq.; Confirmar  pasaportes 4-6 Izq.

I55.4;S506 Izq.; Confirmar  pasaportes 5-6 Izq.

I55.5;S606 Izq.; Confirmar  pasaportes 6-6 Izq.

I55.6;S706 Izq.; Confirmar  pasaportes 7-6 Izq.

I55.7;S806 Izq.; Confirmar  pasaportes 8-6 Izq.

I56.0;S107 Izq.; Confirmar  pasaportes 1-7 Izq.

I56.1;S207 Izq.; Confirmar  pasaportes 2-7 Izq.

I56.2;S307 Izq.; Confirmar  pasaportes 3-7 Izq.

I56.3;S407 Izq.; Confirmar  pasaportes 4-7 Izq.

I56.4;S507 Izq.; Confirmar  pasaportes 5-7 Izq.

I56.5;S607 Izq.; Confirmar  pasaportes 6-7 Izq.

I56.6;S707 Izq.; Confirmar  pasaportes 7-7 Izq.

I56.7;S807 Izq.; Confirmar  pasaportes 8-7 Izq.

I57.0;S108 Izq.; Confirmar  pasaportes 1-8 Izq.

I57.1;S208 Izq.; Confirmar  pasaportes 2-8 Izq.

I57.2;S308 Izq.; Confirmar  pasaportes 3-8 Izq.

I57.3;S408 Izq.; Confirmar  pasaportes 4-8 Izq.

I57.4;S508 Izq.; Confirmar  pasaportes 5-8 Izq.

I57.5;S608 Izq.; Confirmar  pasaportes 6-8 Izq.

I57.6;S708 Izq.; Confirmar  pasaportes 7-8 Izq.

I57.7;S808 Izq.; Confirmar  pasaportes 8-8 Izq.

I58.0;S109 Izq.; Confirmar  pasaportes 1-9 Izq.

I58.1;S209 Izq.; Confirmar  pasaportes 2-9 Izq.

I58.2;S309 Izq.; Confirmar  pasaportes 3-9 Izq.

I58.3;S409 Izq.; Confirmar  pasaportes 4-9 Izq.

I58.4;S509 Izq.; Confirmar  pasaportes 5-9 Izq.

I58.5;S609 Izq.; Confirmar  pasaportes 6-9 Izq.

I58.6;S709 Izq.; Confirmar  pasaportes 7-9 Izq.

I58.7;S809 Izq.; Confirmar  pasaportes 8-9 Izq.

I59.0;S110 Izq.; Confirmar  pasaportes 1-10 Izq.

I59.1;S210 Izq.; Confirmar  pasaportes 2-10 Izq.

I59.2;S310 Izq.; Confirmar  pasaportes 3-10 Izq.

I59.3;S410 Izq.; Confirmar  pasaportes 4-10 Izq.

I59.4;S510 Izq.; Confirmar  pasaportes 5-10 Izq.

I59.5;S610 Izq.; Confirmar  pasaportes 6-10 Izq.

I59.6;S710 Izq.; Confirmar  pasaportes 7-10 Izq.

I59.7;S810 Izq.; Confirmar  pasaportes 8-10 Izq.

I60.0;S111 Izq.; Confirmar  pasaportes 1-11 Izq.

I60.1;S211 Izq.; Confirmar  pasaportes 2-11 Izq.

I60.2;S311 Izq.; Confirmar  pasaportes 3-11 Izq.

I60.3;S411 Izq.; Confirmar  pasaportes 4-11 Izq.

I60.4;S511 Izq.; Confirmar  pasaportes 5-11 Izq.

I60.5;S611 Izq.; Confirmar  pasaportes 6-11 Izq.

I60.6;S711 Izq.; Confirmar  pasaportes 7-11 Izq.

I60.7;S811 Izq.; Confirmar  pasaportes 8-11 Izq.

I61.0;S112 Izq.; Confirmar  pasaportes 1-12 Izq.

I61.1;S212 Izq.; Confirmar  pasaportes 2-12 Izq.

I61.2;S312 Izq.; Confirmar  pasaportes 3-12 Izq.

I61.3;S412 Izq.; Confirmar  pasaportes 4-12 Izq.

I61.4;S512 Izq.; Confirmar  pasaportes 5-12 Izq.

I61.5;S612 Izq.; Confirmar  pasaportes 6-12 Izq.

I61.6;S712 Izq.; Confirmar  pasaportes 7-12 Izq.

I61.7;S812 Izq.; Confirmar  pasaportes 8-12 Izq.

I62.0;S113 Izq.; Confirmar  pasaportes 1-13 Izq.

I62.1;S213 Izq.; Confirmar  pasaportes 2-13 Izq.

I62.2;S313 Izq.; Confirmar  pasaportes 3-13 Izq.

I62.3;S413 Izq.; Confirmar  pasaportes 4-13 Izq.

I62.4;S513 Izq.; Confirmar  pasaportes 5-13 Izq.

I62.5;S613 Izq.; Confirmar  pasaportes 6-13 Izq.

I62.6;S713 Izq.; Confirmar  pasaportes 7-13 Izq.

I62.7;S813 Izq.; Confirmar  pasaportes 8-13 Izq.

I63.0;S114 Izq.; Confirmar  pasaportes 1-14 Izq.

I63.1;S214 Izq.; Confirmar  pasaportes 2-14 Izq.

I63.2;S314 Izq.; Confirmar  pasaportes 3-14 Izq.

I63.3;S414 Izq.; Confirmar  pasaportes 4-14 Izq.

I63.4;S514 Izq.; Confirmar  pasaportes 5-14 Izq.

I63.5;S614 Izq.; Confirmar  pasaportes 6-14 Izq.

I63.6;S714 Izq.; Confirmar  pasaportes 7-14 Izq.

I63.7;S814 Izq.; Confirmar  pasaportes 8-14 Izq.

I64.0;S115 Izq.; Confirmar  pasaportes 1-15 Izq.

I64.1;S215 Izq.; Confirmar  pasaportes 2-15 Izq.

I64.2;S315 Izq.; Confirmar  pasaportes 3-15 Izq.

I64.3;S415 Izq.; Confirmar  pasaportes 4-15 Izq.

I64.4;S515 Izq.; Confirmar  pasaportes 5-15 Izq.

I64.5;S615 Izq.; Confirmar  pasaportes 6-15 Izq.

I64.6;S715 Izq.; Confirmar  pasaportes 7-15 Izq.

I64.7;S815 Izq.; Confirmar  pasaportes 8-15 Izq.

I65.0;B304A;CILINDRO TOPE FAJADORA TRABAJO

I65.1;B304B;CILINDRO TOPE FAJADORA REPOSO

I65.2;B305A;CILINDRO EMPUJADOR FAJADORA TRABAJO

I65.3;B305B;CILINDRO EMPUJADOR FAJADORA REPOSO

I65.4;B306A;CILINDRO SALIDA FAJADORA TRABAJO

I65.5;B306B;CILINDRO SALIDA FAJADORA REPOSO

I65.6;B808;PRESENCIA EN EMPUJADOR

I65.7;B809;PRESENCIA LECTOR RFID

I66.0;B810;PRESENCIA ENTRADA TRANSPORTE ANCAJADORA

I66.1;B811;PRESENCIA SALIDA TRANSPORTE ENCAJADORA

I66.2;Input66.2;Input66.2

I66.3;Input66.3;Input66.3

I66.4;FajadoraOcupado;Ocupado fajadora

I66.5;FajadoraError;Error fajadora

I66.6;FajadoraListo;Listo fajadora

I66.7;FajadoraEnEspera;En espera fajadora

I67.0;S101 Dch.; Confirmar  pasaportes 1-1 Dch.

I67.1;S201 Dch.; Confirmar  pasaportes 2-1 Dch.

I67.2;S301 Dch.; Confirmar  pasaportes 3-1 Dch.

I67.3;S401 Dch.; Confirmar  pasaportes 4-1 Dch.

I67.4;S501 Dch.; Confirmar  pasaportes 5-1 Dch.

I67.5;S601 Dch.; Confirmar  pasaportes 6-1 Dch.

I67.6;S701 Dch.; Confirmar  pasaportes 7-1 Dch.

I67.7;S801 Dch.; Confirmar  pasaportes 8-1 Dch.

I68.0;S102 Dch.; Confirmar  pasaportes 1-2 Dch.

I68.1;S202 Dch.; Confirmar  pasaportes 2-2 Dch.

I68.2;S302 Dch.; Confirmar  pasaportes 3-2 Dch.

I68.3;S402 Dch.; Confirmar  pasaportes 4-2 Dch.

I68.4;S502 Dch.; Confirmar  pasaportes 5-2 Dch.

I68.5;S602 Dch.; Confirmar  pasaportes 6-2 Dch.

I68.6;S702 Dch.; Confirmar  pasaportes 7-2 Dch.

I68.7;S802 Dch.; Confirmar  pasaportes 8-2 Dch.

I69.0;S103 Dch.; Confirmar  pasaportes 1-3 Dch.

I69.1;S203 Dch.; Confirmar  pasaportes 2-3 Dch.

I69.2;S303 Dch.; Confirmar  pasaportes 3-3 Dch.

I69.3;S403 Dch.; Confirmar  pasaportes 4-3 Dch.

I69.4;S503 Dch.; Confirmar  pasaportes 5-3 Dch.

I69.5;S603 Dch.; Confirmar  pasaportes 6-3 Dch.

I69.6;S703 Dch.; Confirmar  pasaportes 7-3 Dch.

I69.7;S803 Dch.; Confirmar  pasaportes 8-3 Dch.

I70.0;S104 Dch.; Confirmar  pasaportes 1-4 Dch.

I70.1;S204 Dch.; Confirmar  pasaportes 2-4 Dch.

I70.2;S304 Dch.; Confirmar  pasaportes 3-4 Dch.

I70.3;S404 Dch.; Confirmar  pasaportes 4-4 Dch.

I70.4;S504 Dch.; Confirmar  pasaportes 5-4 Dch.

I70.5;S604 Dch.; Confirmar  pasaportes 6-4 Dch.

I70.6;S704 Dch.; Confirmar  pasaportes 7-4 Dch.

I70.7;S804 Dch.; Confirmar  pasaportes 8-4 Dch.

I71.0;S105 Dch.; Confirmar  pasaportes 1-5 Dch.

I71.1;S205 Dch.; Confirmar  pasaportes 2-5 Dch.

I71.2;S305 Dch.; Confirmar  pasaportes 3-5 Dch.

I71.3;S405 Dch.; Confirmar  pasaportes 4-5 Dch.

I71.4;S505 Dch.; Confirmar  pasaportes 5-5 Dch.

I71.5;S605 Dch.; Confirmar  pasaportes 6-5 Dch.

I71.6;S705 Dch.; Confirmar  pasaportes 7-5 Dch.

I71.7;S805 Dch.; Confirmar  pasaportes 8-5 Dch.

I72.0;S106 Dch.; Confirmar  pasaportes 1-6 Dch.

I72.1;S206 Dch.; Confirmar  pasaportes 2-6 Dch.

I72.2;S306 Dch.; Confirmar  pasaportes 3-6 Dch.

I72.3;S406 Dch.; Confirmar  pasaportes 4-6 Dch.

I72.4;S506 Dch.; Confirmar  pasaportes 5-6 Dch.

I72.5;S606 Dch.; Confirmar  pasaportes 6-6 Dch.

I72.6;S706 Dch.; Confirmar  pasaportes 7-6 Dch.

I72.7;S806 Dch.; Confirmar  pasaportes 8-6 Dch.

I73.0;S107 Dch.; Confirmar  pasaportes 1-7 Dch.

I73.1;S207 Dch.; Confirmar  pasaportes 2-7 Dch.

